Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10,7,6);5;0.000004;5;0.000007;1
(10,7,6);5;0.000003;5;0.000004;2
(10,7,6);5;0.000002;5;0.000003;3
(10,7,6);5;0.000002;5;0.000003;4
(10,7,6);5;0.000002;5;0.000003;5
(10,7,6);5;0.000002;5;0.000003;6
(10,7,6);5;0.000001;5;0.000002;7
(10,7,6);5;0.000001;5;0.000002;8
(10,7,6);5;0.000001;5;0.000002;9
(10,7,6);5;0.000001;5;0.000002;10
(10,7,6);5;0.000001;5;0.000002;11
(10,7,6);5;0.000001;5;0.000002;12
(10,7,6);5;0.000001;5;0.000002;13
(10,7,6);5;0.000001;5;0.000002;14
(10,7,6);5;0.000001;5;0.000001;15
(10,7,6);5;0.000001;5;0.000002;16
(10,7,6);5;0.000001;5;0.000002;17
(10,7,6);5;0.000001;5;0.000002;18
(10,7,6);5;0.000001;5;0.000002;19
(10,7,6);5;0.000001;5;0.000001;20
(846,756,20);302;0.003489;302;0.004003;1
(846,756,20);302;0.003035;302;0.004206;2
(846,756,20);302;0.003066;302;0.003912;3
(846,756,20);302;0.003016;302;0.005498;4
(846,756,20);302;0.003334;302;0.003782;5
(846,756,20);302;0.003208;302;0.003785;6
(846,756,20);302;0.003051;302;0.004079;7
(846,756,20);302;0.003093;302;0.003834;8
(846,756,20);302;0.003005;302;0.003805;9
(846,756,20);302;0.003101;302;0.003896;10
(846,756,20);302;0.003031;302;0.003802;11
(846,756,20);302;0.003073;302;0.003902;12
(846,756,20);302;0.003124;302;0.003792;13
(846,756,20);302;0.003022;302;0.003799;14
(846,756,20);302;0.003060;302;0.003781;15
(846,756,20);302;0.003057;302;0.003836;16
(846,756,20);302;0.003012;302;0.003785;17
(846,756,20);302;0.003366;302;0.003841;18
(846,756,20);302;0.003013;302;0.003800;19
(846,756,20);302;0.003024;302;0.003801;20
(29610,26460,20);10706;4.064243;10706;4.675669;1
(29610,26460,20);10706;4.123206;10706;4.657539;2
