Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10,7,6);5;0.000003;5;0.000005;1
(10,7,6);5;0.000001;5;0.000002;2
(10,7,6);5;0.000001;5;0.000002;3
(10,7,6);5;0.000003;5;0.000005;4
(10,7,6);5;0.000001;5;0.000002;5
(10,7,6);5;0.000001;5;0.000002;6
(10,7,6);5;0.000003;5;0.000005;7
(10,7,6);5;0.000003;5;0.000004;8
(10,7,6);5;0.000001;5;0.000002;9
(10,7,6);5;0.000001;5;0.000002;10
(10,7,6);5;0.000001;5;0.000002;11
(10,7,6);5;0.000003;5;0.000005;12
(10,7,6);5;0.000001;5;0.000002;13
(10,7,6);5;0.000001;5;0.000002;14
(10,7,6);5;0.000001;5;0.000002;15
(10,7,6);5;0.000001;5;0.000002;16
(10,7,6);5;0.000001;5;0.000002;17
(10,7,6);5;0.000001;5;0.000002;18
(10,7,6);5;0.000001;5;0.000002;19
(10,7,6);5;0.000001;5;0.000001;20
(846,756,20);302;0.004240;302;0.006310;1
(846,756,20);302;0.004253;302;0.006207;2
(846,756,20);302;0.011862;302;0.017865;3
(846,756,20);302;0.011870;302;0.017876;4
(846,756,20);302;0.011852;302;0.017869;5
(846,756,20);302;0.011855;302;0.017777;6
(846,756,20);302;0.011885;302;0.017753;7
(846,756,20);302;0.004200;302;0.006199;8
(846,756,20);302;0.011846;302;0.017842;9
(846,756,20);302;0.011865;302;0.017810;10
(846,756,20);302;0.011878;302;0.017782;11
(846,756,20);302;0.011862;302;0.017827;12
(846,756,20);302;0.011884;302;0.018003;13
(846,756,20);302;0.013465;302;0.019744;14
(846,756,20);302;0.012321;302;0.012105;15
(846,756,20);302;0.006791;302;0.009995;16
(846,756,20);302;0.006617;302;0.010006;17
(846,756,20);302;0.004251;302;0.006219;18
(846,756,20);302;0.006624;302;0.009917;19
(846,756,20);302;0.006622;302;0.009987;20
1
2
