Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10,7,6);5;0.000002;5;0.000003;1
(10,7,6);5;0.000002;5;0.000003;2
(10,7,6);5;0.000002;5;0.000003;3
(10,7,6);5;0.000002;5;0.000003;4
(10,7,6);5;0.000002;5;0.000003;5
(10,7,6);5;0.000002;5;0.000003;6
(10,7,6);5;0.000002;5;0.000003;7
(10,7,6);5;0.000002;5;0.000003;8
(10,7,6);5;0.000002;5;0.000003;9
(10,7,6);5;0.000002;5;0.000003;10
(10,7,6);5;0.000002;5;0.000003;11
(10,7,6);5;0.000002;5;0.000003;12
(10,7,6);5;0.000002;5;0.000003;13
(10,7,6);5;0.000002;5;0.000003;14
(10,7,6);5;0.000002;5;0.000003;15
(10,7,6);5;0.000002;5;0.000003;16
(10,7,6);5;0.000002;5;0.000003;17
(10,7,6);5;0.000002;5;0.000003;18
(10,7,6);5;0.000002;5;0.000003;19
(10,7,6);5;0.000002;5;0.000003;20
(846,756,20);302;0.007855;302;0.008242;1
(846,756,20);302;0.005305;302;0.006334;2
(846,756,20);302;0.005199;302;0.006602;3
(846,756,20);302;0.005514;302;0.005558;4
(846,756,20);302;0.003773;302;0.004580;5
(846,756,20);302;0.003282;302;0.003934;6
(846,756,20);302;0.003018;302;0.003808;7
(846,756,20);302;0.003096;302;0.003820;8
(846,756,20);302;0.003207;302;0.005020;9
(846,756,20);302;0.003068;302;0.003853;10
(846,756,20);302;0.003956;302;0.003803;11
(846,756,20);302;0.003198;302;0.003787;12
(846,756,20);302;0.003183;302;0.003802;13
(846,756,20);302;0.003167;302;0.003809;14
(846,756,20);302;0.003026;302;0.003824;15
(846,756,20);302;0.003208;302;0.003793;16
(846,756,20);302;0.003144;302;0.003842;17
(846,756,20);302;0.003068;302;0.003833;18
(846,756,20);302;0.003199;302;0.003807;19
(846,756,20);302;0.003236;302;0.004155;20
(29610,26460,20);10706;4.079462;10706;4.653988;1
(29610,26460,20);10706;4.093806;10706;4.700756;2
