Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10,7,6);5;0.000004;5;0.000006;1
(10,7,6);5;0.000003;5;0.000004;2
(10,7,6);5;0.000002;5;0.000003;3
(10,7,6);5;0.000002;5;0.000003;4
(10,7,6);5;0.000002;5;0.000003;5
(10,7,6);5;0.000001;5;0.000002;6
(10,7,6);5;0.000002;5;0.000003;7
(10,7,6);5;0.000001;5;0.000003;8
(10,7,6);5;0.000001;5;0.000002;9
(10,7,6);5;0.000001;5;0.000002;10
(10,7,6);5;0.000001;5;0.000002;11
(10,7,6);5;0.000001;5;0.000002;12
(10,7,6);5;0.000001;5;0.000002;13
(10,7,6);5;0.000001;5;0.000002;14
(10,7,6);5;0.000001;5;0.000002;15
(10,7,6);5;0.000001;5;0.000002;16
(10,7,6);5;0.000001;5;0.000002;17
(10,7,6);5;0.000001;5;0.000002;18
(10,7,6);5;0.000001;5;0.000002;19
(10,7,6);5;0.000001;5;0.000002;20
(846,756,20);302;0.003560;302;0.004342;1
(846,756,20);302;0.003013;302;0.003802;2
(846,756,20);302;0.003097;302;0.003796;3
(846,756,20);302;0.003008;302;0.003869;4
(846,756,20);302;0.003009;302;0.003827;5
(846,756,20);302;0.003007;302;0.003854;6
(846,756,20);302;0.003082;302;0.003803;7
(846,756,20);302;0.003102;302;0.004006;8
(846,756,20);302;0.003078;302;0.003899;9
(846,756,20);302;0.003122;302;0.003820;10
(846,756,20);302;0.003017;302;0.005178;11
(846,756,20);302;0.003177;302;0.003789;12
(846,756,20);302;0.003160;302;0.003878;13
(846,756,20);302;0.003009;302;0.003802;14
(846,756,20);302;0.003013;302;0.003837;15
(846,756,20);302;0.003018;302;0.003817;16
(846,756,20);302;0.003173;302;0.003845;17
(846,756,20);302;0.003077;302;0.003815;18
(846,756,20);302;0.003043;302;0.003964;19
(846,756,20);302;0.003045;302;0.003824;20
(29610,26460,20);10706;4.104114;10706;4.660236;1
(29610,26460,20);10706;4.067585;10706;4.551738;2
