Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10,7,6);5;0.000004;5;0.000007;1
(10,7,6);5;0.000004;5;0.000007;2
(10,7,6);5;0.000004;5;0.000006;3
(10,7,6);5;0.000004;5;0.000006;4
(10,7,6);5;0.000004;5;0.000007;5
(10,7,6);5;0.000004;5;0.000006;6
(10,7,6);5;0.000004;5;0.000006;7
(10,7,6);5;0.000004;5;0.000007;8
(10,7,6);5;0.000004;5;0.000006;9
(10,7,6);5;0.000004;5;0.000007;10
(10,7,6);5;0.000004;5;0.000007;11
(10,7,6);5;0.000003;5;0.000004;12
(10,7,6);5;0.000003;5;0.000004;13
(10,7,6);5;0.000002;5;0.000003;14
(10,7,6);5;0.000002;5;0.000003;15
(10,7,6);5;0.000002;5;0.000002;16
(10,7,6);5;0.000002;5;0.000003;17
(10,7,6);5;0.000002;5;0.000003;18
(10,7,6);5;0.000001;5;0.000002;19
(10,7,6);5;0.000001;5;0.000002;20
(846,756,20);302;0.004518;302;0.004778;1
(846,756,20);302;0.003256;302;0.003805;2
(846,756,20);302;0.003106;302;0.003779;3
(846,756,20);302;0.003063;302;0.003800;4
(846,756,20);302;0.003003;302;0.003897;5
(846,756,20);302;0.003010;302;0.003813;6
(846,756,20);302;0.003047;302;0.003869;7
(846,756,20);302;0.003075;302;0.003780;8
(846,756,20);302;0.003009;302;0.003829;9
(846,756,20);302;0.002999;302;0.003914;10
(846,756,20);302;0.003009;302;0.003786;11
(846,756,20);302;0.003009;302;0.003802;12
(846,756,20);302;0.003113;302;0.003804;13
(846,756,20);302;0.003018;302;0.003870;14
(846,756,20);302;0.003080;302;0.003823;15
(846,756,20);302;0.002999;302;0.003823;16
(846,756,20);302;0.003004;302;0.003778;17
(846,756,20);302;0.003001;302;0.003787;18
(846,756,20);302;0.002999;302;0.003781;19
(846,756,20);302;0.003043;302;0.003800;20
(29610,26460,20);10706;4.000471;10706;4.479659;1
(29610,26460,20);10706;3.983929;10706;4.550886;2
