Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10,7,6);5;0.000003;5;0.000004;1
(10,7,6);5;0.000002;5;0.000004;2
(10,7,6);5;0.000002;5;0.000004;3
(10,7,6);5;0.000002;5;0.000004;4
(10,7,6);5;0.000003;5;0.000087;5
(10,7,6);5;0.000003;5;0.000004;6
(10,7,6);5;0.000003;5;0.000004;7
(10,7,6);5;0.000003;5;0.000004;8
(10,7,6);5;0.000002;5;0.000005;9
(10,7,6);5;0.000002;5;0.000004;10
(10,7,6);5;0.000003;5;0.000004;11
(10,7,6);5;0.000002;5;0.000004;12
(10,7,6);5;0.000003;5;0.000004;13
(10,7,6);5;0.000002;5;0.000004;14
(10,7,6);5;0.000002;5;0.000003;15
(10,7,6);5;0.000002;5;0.000003;16
(10,7,6);5;0.000002;5;0.000003;17
(10,7,6);5;0.000002;5;0.000003;18
(10,7,6);5;0.000002;5;0.000102;19
(10,7,6);5;0.000002;5;0.000003;20
(846,756,20);302;0.006529;302;0.007502;1
(846,756,20);302;0.005148;302;0.007163;2
(846,756,20);302;0.004255;302;0.005626;3
(846,756,20);302;0.004205;302;0.006016;4
(846,756,20);302;0.004492;302;0.005294;5
(846,756,20);302;0.004192;302;0.004938;6
(846,756,20);302;0.003338;302;0.005236;7
(846,756,20);302;0.003293;302;0.004190;8
(846,756,20);302;0.003277;302;0.004133;9
(846,756,20);302;0.003271;302;0.004323;10
(846,756,20);302;0.003294;302;0.004206;11
(846,756,20);302;0.003311;302;0.004137;12
(846,756,20);302;0.003630;302;0.004098;13
(846,756,20);302;0.003332;302;0.004175;14
(846,756,20);302;0.003307;302;0.004157;15
(846,756,20);302;0.003295;302;0.004134;16
(846,756,20);302;0.003311;302;0.004162;17
(846,756,20);302;0.003254;302;0.004130;18
(846,756,20);302;0.003275;302;0.004096;19
(846,756,20);302;0.003376;302;0.004342;20
(29610,26460,20);10706;4.079671;10706;4.657866;1
(29610,26460,20);10706;4.072922;10706;4.656015;2
